classifier,fold,accuracy
NearestCentroid,0,0.6875
NearestCentroid,1,0.75
NearestCentroid,2,0.8125
NearestCentroid,3,0.5
NearestCentroid,4,0.625
NearestCentroid,5,0.625
NearestCentroid,6,0.875
NearestCentroid,7,0.6875
NearestCentroid,8,0.6875
NearestCentroid,9,0.75
NearestCentroid,10,0.8125
NearestCentroid,11,0.625
NearestCentroid,12,0.6875
NearestCentroid,13,0.6875
NearestCentroid,14,0.75
NearestCentroid,15,0.875
NearestCentroid,16,0.6875
NearestCentroid,17,0.8125
NearestCentroid,18,0.6875
NearestCentroid,19,0.875
NearestCentroid,20,0.75
NearestCentroid,21,0.8125
NearestCentroid,22,0.625
NearestCentroid,23,0.4375
NearestCentroid,24,0.5
NearestCentroid,25,0.8125
NearestCentroid,26,0.75
NearestCentroid,27,0.625
NearestCentroid,28,0.5
NearestCentroid,29,0.6875
NearestCentroid,30,0.6875
NearestCentroid,31,0.75
NearestCentroid,32,0.8125
NearestCentroid,33,0.6875
NearestCentroid,34,0.625
NearestCentroid,35,0.625
NearestCentroid,36,0.75
NearestCentroid,37,0.8125
NearestCentroid,38,0.625
NearestCentroid,39,0.875
NearestCentroid,40,0.6875
NearestCentroid,41,0.75
NearestCentroid,42,0.5625
NearestCentroid,43,0.625
NearestCentroid,44,0.625
NearestCentroid,45,0.75
NearestCentroid,46,0.75
NearestCentroid,47,0.75
NearestCentroid,48,0.875
NearestCentroid,49,0.8125
SVM_linear,0,0.75
SVM_linear,1,0.875
SVM_linear,2,0.625
SVM_linear,3,0.625
SVM_linear,4,0.625
SVM_linear,5,0.5
SVM_linear,6,0.8125
SVM_linear,7,0.5
SVM_linear,8,0.5625
SVM_linear,9,0.75
SVM_linear,10,0.6875
SVM_linear,11,0.75
SVM_linear,12,0.75
SVM_linear,13,0.75
SVM_linear,14,0.875
SVM_linear,15,0.6875
SVM_linear,16,0.625
SVM_linear,17,0.625
SVM_linear,18,0.5625
SVM_linear,19,0.875
SVM_linear,20,0.625
SVM_linear,21,0.75
SVM_linear,22,0.6875
SVM_linear,23,0.4375
SVM_linear,24,0.6875
SVM_linear,25,0.75
SVM_linear,26,0.75
SVM_linear,27,0.8125
SVM_linear,28,0.625
SVM_linear,29,0.5
SVM_linear,30,0.6875
SVM_linear,31,0.6875
SVM_linear,32,0.6875
SVM_linear,33,0.75
SVM_linear,34,0.6875
SVM_linear,35,0.6875
SVM_linear,36,0.75
SVM_linear,37,0.6875
SVM_linear,38,0.75
SVM_linear,39,0.75
SVM_linear,40,0.75
SVM_linear,41,0.6875
SVM_linear,42,0.625
SVM_linear,43,0.6875
SVM_linear,44,0.625
SVM_linear,45,0.875
SVM_linear,46,0.875
SVM_linear,47,0.875
SVM_linear,48,0.6875
SVM_linear,49,0.6875
SVM_RBF,0,0.75
SVM_RBF,1,0.6875
SVM_RBF,2,0.625
SVM_RBF,3,0.5625
SVM_RBF,4,0.625
SVM_RBF,5,0.5625
SVM_RBF,6,0.8125
SVM_RBF,7,0.5625
SVM_RBF,8,0.625
SVM_RBF,9,0.8125
SVM_RBF,10,0.4375
SVM_RBF,11,0.625
SVM_RBF,12,0.75
SVM_RBF,13,0.6875
SVM_RBF,14,0.6875
SVM_RBF,15,0.625
SVM_RBF,16,0.625
SVM_RBF,17,0.625
SVM_RBF,18,0.5
SVM_RBF,19,0.8125
SVM_RBF,20,0.625
SVM_RBF,21,0.75
SVM_RBF,22,0.8125
SVM_RBF,23,0.5625
SVM_RBF,24,0.75
SVM_RBF,25,0.8125
SVM_RBF,26,0.625
SVM_RBF,27,0.625
SVM_RBF,28,0.75
SVM_RBF,29,0.625
SVM_RBF,30,0.625
SVM_RBF,31,0.625
SVM_RBF,32,0.625
SVM_RBF,33,0.8125
SVM_RBF,34,0.6875
SVM_RBF,35,0.6875
SVM_RBF,36,0.5
SVM_RBF,37,0.625
SVM_RBF,38,0.5625
SVM_RBF,39,0.75
SVM_RBF,40,0.875
SVM_RBF,41,0.8125
SVM_RBF,42,0.4375
SVM_RBF,43,0.625
SVM_RBF,44,0.625
SVM_RBF,45,0.4375
SVM_RBF,46,0.8125
SVM_RBF,47,0.8125
SVM_RBF,48,0.6875
SVM_RBF,49,0.5625
RandomForest,0,0.875
RandomForest,1,0.875
RandomForest,2,0.875
RandomForest,3,0.6875
RandomForest,4,0.875
RandomForest,5,0.5625
RandomForest,6,0.6875
RandomForest,7,0.75
RandomForest,8,0.75
RandomForest,9,0.75
RandomForest,10,0.8125
RandomForest,11,0.75
RandomForest,12,0.5625
RandomForest,13,0.8125
RandomForest,14,0.75
RandomForest,15,0.9375
RandomForest,16,0.75
RandomForest,17,0.75
RandomForest,18,0.8125
RandomForest,19,0.875
RandomForest,20,0.875
RandomForest,21,0.8125
RandomForest,22,0.6875
RandomForest,23,0.5625
RandomForest,24,0.6875
RandomForest,25,0.6875
RandomForest,26,0.8125
RandomForest,27,0.75
RandomForest,28,0.9375
RandomForest,29,0.8125
RandomForest,30,0.75
RandomForest,31,0.75
RandomForest,32,0.625
RandomForest,33,0.8125
RandomForest,34,0.875
RandomForest,35,0.8125
RandomForest,36,0.75
RandomForest,37,0.875
RandomForest,38,0.875
RandomForest,39,0.875
RandomForest,40,0.8125
RandomForest,41,0.9375
RandomForest,42,0.625
RandomForest,43,0.6875
RandomForest,44,0.8125
RandomForest,45,0.875
RandomForest,46,0.875
RandomForest,47,0.8125
RandomForest,48,0.9375
RandomForest,49,0.875
XGBoost,0,0.875
XGBoost,1,0.8125
XGBoost,2,0.8125
XGBoost,3,0.5625
XGBoost,4,0.875
XGBoost,5,0.625
XGBoost,6,0.75
XGBoost,7,0.8125
XGBoost,8,0.8125
XGBoost,9,0.75
XGBoost,10,0.75
XGBoost,11,0.75
XGBoost,12,0.625
XGBoost,13,0.8125
XGBoost,14,0.75
XGBoost,15,0.875
XGBoost,16,0.8125
XGBoost,17,0.625
XGBoost,18,0.8125
XGBoost,19,0.9375
XGBoost,20,0.8125
XGBoost,21,0.8125
XGBoost,22,0.8125
XGBoost,23,0.6875
XGBoost,24,0.875
XGBoost,25,0.6875
XGBoost,26,0.875
XGBoost,27,0.8125
XGBoost,28,0.75
XGBoost,29,0.6875
XGBoost,30,0.8125
XGBoost,31,0.875
XGBoost,32,0.8125
XGBoost,33,0.6875
XGBoost,34,0.8125
XGBoost,35,0.75
XGBoost,36,0.6875
XGBoost,37,0.9375
XGBoost,38,0.9375
XGBoost,39,0.875
XGBoost,40,0.875
XGBoost,41,0.9375
XGBoost,42,0.625
XGBoost,43,0.75
XGBoost,44,0.875
XGBoost,45,0.8125
XGBoost,46,0.875
XGBoost,47,0.75
XGBoost,48,0.9375
XGBoost,49,0.8125
